,0
0,-0.2107826918273877
1,7.611405910947806
2,-6.461782044649608
3,10.908502475464582
4,5.7326178008734585
5,12.202776690832195
6,1.166597877036283
7,-4.804679310476718
8,1.3075935253278013
9,0.6180022754440436
10,6.8422645235112896
11,9.150049807364777
12,12.353315757309051
13,0.640656325436737
14,9.297905097836612
15,2.9605358653067473
16,13.49749378159291
17,12.533723373802998
18,7.428442121259719
19,9.057473370230285
20,4.5609589099652155
21,-5.239542017496818
22,10.928906567252685
23,5.2987040717725975
24,7.182420313092258
25,-9.48173518605246
26,9.784637774313115
27,5.7557699610922715
28,0.1966326275995765
29,4.293617733600842
30,1.8611476868758559
31,1.3012614238725835
32,4.013813441529807
33,6.277603673307093
34,1.27033704252352
35,9.846548762171766
36,9.72419294552613
37,9.144321231293748
38,8.283963099310524
39,2.522704667735927
40,6.127932913988683
41,-1.4463349227245235
42,4.686928767809201
43,4.8029513456005635
44,3.9092771711562957
45,-1.2600858424633432
46,0.24866413476727106
47,-4.630296489962751
48,2.5239873279211347
49,-0.251512429387286
50,-0.5407870037543627
51,4.621041111802503
52,-8.398267180337424
53,-7.012817711180221
54,-3.9060385526787393
55,2.5559756262973736
56,-10.333353465853683
57,5.597648024978255
58,-0.7077172722525693
59,3.155762726425171
60,-10.357695987538433
61,-9.345028237679646
62,-4.431553632908056
63,-6.4526993127902355
64,3.1564628508542016
65,-8.170310421573888
66,6.569893420625094
67,0.973927918357422
68,7.725698287027825
69,-1.4907853187278093
70,1.7647792896791603
71,9.83292052615218
72,4.20544304701259
73,9.046752051459102
74,-0.39962524107527636
75,0.5997957649664185
76,5.856109595199396
77,7.941689866631382
78,1.4951742132271235
79,-2.2240915871762628
80,12.83070377487354
81,3.487908452971962
82,12.250787349920316
83,-2.5161011745605744
84,-4.482189236929783
85,2.856349151214121
86,4.149158377868856
87,20.435818304498607
88,2.740353391086979
89,2.723188574797957
90,-0.30702609104668666
91,5.722447758893749
92,-1.7569353801854701
93,0.27817114676098176
94,2.2275654418939332
95,-7.701516888245521
96,4.342754037301751
97,4.3170364571075455
98,-9.691490028480885
99,7.650823769232139
100,-15.55354341804825
101,-2.7486387200671754
102,0.12814728131668696
103,4.007814722197538
104,-11.929684059763982
105,-3.3772285743078725
106,5.750186825963075
107,11.325681834208705
108,5.3634048168912845
109,-1.2297862049324289
110,1.0451550477554648
111,4.034494453480434
112,22.27527259078391
113,2.4109433866335297
114,4.553495794272914
115,18.976048277916917
116,1.1934412226075644
117,19.381085562545202
118,18.5800831168868
119,8.210174073283241
120,19.69243242222171
121,14.086617398812407
122,6.760990908402814
123,23.36435202687279
124,23.983282742541466
125,14.321141404193085
126,-4.7499624592415906
127,1.0361780817879283
128,7.172833524445519
129,17.22159789585406
130,14.851038415980897
131,15.028047033540055
132,3.6146015341150615
133,6.7846318611967025
134,5.608477711241266
135,-4.192400833875686
136,-11.02761564613327
137,-3.9027492229629033
138,-2.5982421828846745
139,1.490480595731134
140,4.494802829740639
141,-10.72029734245218
142,0.36163425197292814
143,5.550788942583962
144,10.145642548539637
145,7.0630016637231385
146,-11.520243898690595
147,-2.5280064621357257
148,6.456479324162742
149,10.25838144117034
150,-6.110920904690781
151,-1.7857407014811724
152,13.466461226651681
153,-0.5846623394817789
154,9.639004314956471
155,-2.0930494996551294
156,5.4184669778248225
157,-0.3644957603529116
158,-1.3908451546457832
159,-0.5244443043130923
160,-0.6153310797440906
161,3.8105963024704
162,-0.907339222265488
163,-4.483703513748802
164,-6.74204546804507
165,4.375908409320033
166,-2.1184056156383164
167,4.849265899353407
168,6.183142044028699
169,-7.300709660439081
170,5.103541785272493
171,0.45283847292099244
172,3.2921124597120244
